[10:53:37] [2J[HCONTAINER ID   NAME                                                                                                                   CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
[10:54:01] 52732ee477c4   peer1.org3.digiprism.com.couchdb                                                                                       0.79%     104.9MiB / 15.49GiB   0.66%     52.6MB / 36.5MB   47MB / 841MB     35
[10:54:01] 631a5cfd7bb5   peer2.org2.digiprism.com.couchdb                                                                                       0.66%     113.9MiB / 15.49GiB   0.72%     59.7MB / 43.8MB   53.9MB / 980MB   35
[10:54:01] f25f52e5571b   peer1.org2.digiprism.com.couchdb                                                                                       0.37%     115MiB / 15.49GiB     0.73%     59.8MB / 43.9MB   49.6MB / 980MB   35
[10:54:01] 8ca35365aa66   peer2.org1.digiprism.com.couchdb                                                                                       3.62%     109.5MiB / 15.49GiB   0.69%     59.8MB / 43.9MB   55.9MB / 982MB   35
[10:54:01] 8b12f7812104   peer1.org1.digiprism.com.couchdb                                                                                       5.45%     114.6MiB / 15.49GiB   0.72%     73.2MB / 74.4MB   60.3MB / 984MB   35
[10:54:02] [2J[HCONTAINER ID   NAME                                                                                                                   CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
[10:54:02] f843f967e4d3   explorer.network1                                                                                                      67.97%    149MiB / 15.49GiB     0.94%     1.99GB / 627MB    103MB / 156MB    35
[10:54:02] ec0fb0d1225d   explorerdb.network1                                                                                                    24.11%    49.04MiB / 15.49GiB   0.31%     136MB / 841MB     52.6MB / 732MB   9
[10:54:02] b5df462694ad   dev-peer2.org2.digiprism.com-identitychaincode1_1.0-2729ce6234c7e86a08ffbe222b20e2d50622d1631e7f5d61fb60e9156d49529b   0.00%     6.348MiB / 2GiB       0.31%     57MB / 17.2MB     8.08MB / 0B      12
[10:54:02] 97a57b753fbc   dev-peer1.org1.digiprism.com-identitychaincode1_1.0-2729ce6234c7e86a08ffbe222b20e2d50622d1631e7f5d61fb60e9156d49529b   0.00%     6.484MiB / 2GiB       0.32%     35.9MB / 11.6MB   7.54MB / 0B      12
[10:54:02] 49169ba2e361   dev-peer2.org3.digiprism.com-identitychaincode1_1.0-2729ce6234c7e86a08ffbe222b20e2d50622d1631e7f5d61fb60e9156d49529b   0.00%     6.262MiB / 2GiB       0.31%     68.7MB / 20.5MB   6.91MB / 0B      12
[10:54:02] 4806414fc675   dev-peer2.org1.digiprism.com-identitychaincode1_1.0-2729ce6234c7e86a08ffbe222b20e2d50622d1631e7f5d61fb60e9156d49529b   0.00%     6.457MiB / 2GiB       0.32%     78.8MB / 23.2MB   7.46MB / 0B      12
[10:54:02] 6f065b60b272   dev-peer1.org3.digiprism.com-identitychaincode1_1.0-2729ce6234c7e86a08ffbe222b20e2d50622d1631e7f5d61fb60e9156d49529b   0.00%     6.414MiB / 2GiB       0.31%     46.5MB / 14.5MB   6.76MB / 0B      12
[10:54:02] a358898e2b29   dev-peer1.org2.digiprism.com-identitychaincode1_1.0-2729ce6234c7e86a08ffbe222b20e2d50622d1631e7f5d61fb60e9156d49529b   0.00%     6.211MiB / 2GiB       0.30%     57.9MB / 17.6MB   6.66MB / 0B      12
[10:54:02] 04c27243e826   dev-peer2.org1.digiprism.com-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26               0.00%     5.039MiB / 2GiB       0.25%     24.8MB / 8.16MB   4.34MB / 0B      12
[10:54:02] 4335f8b51d4a   dev-peer1.org2.digiprism.com-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26               0.00%     5.297MiB / 2GiB       0.26%     24.8MB / 8.16MB   4.03MB / 0B      13
[10:54:02] 637e30ee7d33   dev-peer1.org3.digiprism.com-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26               0.00%     5.02MiB / 2GiB        0.25%     24.8MB / 8.17MB   3.63MB / 0B      13
[10:54:02] 1665e3ea088a   dev-peer2.org2.digiprism.com-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26               0.00%     4.836MiB / 2GiB       0.24%     24.8MB / 8.17MB   4.69MB / 0B      13
[10:54:02] 61b92085d757   dev-peer1.org1.digiprism.com-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26               0.00%     5.121MiB / 2GiB       0.25%     24.8MB / 8.16MB   4.29MB / 0B      13
[10:54:02] 3782c13a9b5e   dev-peer2.org3.digiprism.com-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26               0.00%     5.004MiB / 2GiB       0.24%     24.8MB / 8.16MB   3.83MB / 0B      13
[10:54:02] cad2d1e41032   network1                                                                                                               0.00%     85.91MiB / 15.49GiB   0.54%     199MB / 137MB     231MB / 444MB    1
[10:54:02] b69f0e2c3cb9   ca1.org3.digiprism.com                                                                                                 0.00%     3.875MiB / 15.49GiB   0.02%     17.4MB / 0B       254kB / 352kB    13
[10:54:02] 7840221811b8   ca1.org2.digiprism.com                                                                                                 0.00%     4.199MiB / 15.49GiB   0.03%     17.4MB / 0B       393kB / 352kB    13
[10:54:02] 34d9e03dfbc4   ca1.org1.digiprism.com                                                                                                 0.00%     5.906MiB / 15.49GiB   0.04%     17.4MB / 0B       18.7MB / 352kB   13
[10:54:02] 4902852ba51e   orderer3.digiprism.com                                                                                                 0.45%     37.91MiB / 15.49GiB   0.24%     1.53GB / 1.48GB   3.43MB / 128MB   15
[10:54:02] 488069fcea0c   orderer2.digiprism.com                                                                                                 0.81%     51.36MiB / 15.49GiB   0.32%     2.97GB / 3.06GB   17MB / 131MB     15
[10:54:02] f53c24dc9cb5   orderer1.digiprism.com                                                                                                 0.43%     39.87MiB / 15.49GiB   0.25%     1.54GB / 1.52GB   25.6MB / 128MB   15
[10:54:02] be8816fd5952   peer2.org3.digiprism.com                                                                                               3.84%     123.1MiB / 15.49GiB   0.78%     3.99GB / 3.94GB   15.5MB / 257MB   15
[10:54:02] 9c6f434b7202   peer1.org3.digiprism.com                                                                                               3.44%     121.4MiB / 15.49GiB   0.77%     3.96GB / 3.97GB   16.8MB / 258MB   15
[10:54:02] eb4ce43c7f5f   peer2.org2.digiprism.com                                                                                               3.55%     135.1MiB / 15.49GiB   0.85%     4.02GB / 3.96GB   19.9MB / 293MB   15
[10:54:02] b6587b37528a   peer1.org2.digiprism.com                                                                                               3.33%     129.6MiB / 15.49GiB   0.82%     4.03GB / 4.03GB   20.9MB / 295MB   15
[10:54:02] 4f8adb1d26bd   peer2.org1.digiprism.com                                                                                               3.06%     134.4MiB / 15.49GiB   0.85%     4.02GB / 4GB      20.5MB / 295MB   15
[10:54:02] 25c44cfbdce5   peer1.org1.digiprism.com                                                                                               8.37%     155MiB / 15.49GiB     0.98%     4.11GB / 4.98GB   68MB / 289MB     15
[10:54:02] c0dbbd337451   peer2.org3.digiprism.com.couchdb                                                                                       0.75%     111.4MiB / 15.49GiB   0.70%     52.7MB / 36.5MB   48.7MB / 840MB   35
[10:54:02] 52732ee477c4   peer1.org3.digiprism.com.couchdb                                                                                       0.79%     104.9MiB / 15.49GiB   0.66%     52.6MB / 36.5MB   47MB / 841MB     35
[10:54:02] 631a5cfd7bb5   peer2.org2.digiprism.com.couchdb                                                                                       0.66%     113.9MiB / 15.49GiB   0.72%     59.7MB / 43.8MB   53.9MB / 980MB   35
[10:54:02] f25f52e5571b   peer1.org2.digiprism.com.couchdb                                                                                       0.37%     115MiB / 15.49GiB     0.73%     59.8MB / 43.9MB   49.6MB / 980MB   35
[10:54:02] 8ca35365aa66   peer2.org1.digiprism.com.couchdb                                                                                       3.62%     109.5MiB / 15.49GiB   0.69%     59.8MB / 43.9MB   55.9MB / 982MB   35
[10:54:02] 8b12f7812104   peer1.org1.digiprism.com.couchdb                                                                                       5.45%     114.6MiB / 15.49GiB   0.72%     73.2MB / 74.4MB   60.3MB / 984MB   35
[10:54:02]                --                                                                                                                     0.00%     0B / 0B               0.00%     0B / 0B           0B / 0B          0
[10:54:02] [2J[HCONTAINER ID   NAME                                                                                                                   CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
[10:54:02] f843f967e4d3   explorer.network1                                                                                                      0.00%     149MiB / 15.49GiB     0.94%     1.99GB / 627MB    103MB / 156MB    35
[10:54:02] ec0fb0d1225d   explorerdb.network1                                                                                                    0.00%     49.04MiB / 15.49GiB   0.31%     136MB / 841MB     52.6MB / 732MB   9
[10:54:02] b5df462694ad   dev-peer2.org2.digiprism.com-identitychaincode1_1.0-2729ce6234c7e86a08ffbe222b20e2d50622d1631e7f5d61fb60e9156d49529b   0.00%     6.348MiB / 2GiB       0.31%     57MB / 17.2MB     8.08MB / 0B      12
[10:54:02] 97a57b753fbc   dev-peer1.org1.digiprism.com-identitychaincode1_1.0-2729ce6234c7e86a08ffbe222b20e2d50622d1631e7f5d61fb60e9156d49529b   0.00%     6.484MiB / 2GiB       0.32%     35.9MB / 11.6MB   7.54MB / 0B      12
[10:54:02] 49169ba2e361   dev-peer2.org3.digiprism.com-identitychaincode1_1.0-2729ce6234c7e86a08ffbe222b20e2d50622d1631e7f5d61fb60e9156d49529b   0.00%     6.262MiB / 2GiB       0.31%     68.7MB / 20.5MB   6.91MB / 0B      12
[10:54:02] 4806414fc675   dev-peer2.org1.digiprism.com-identitychaincode1_1.0-2729ce6234c7e86a08ffbe222b20e2d50622d1631e7f5d61fb60e9156d49529b   0.00%     6.457MiB / 2GiB       0.32%     78.8MB / 23.2MB   7.46MB / 0B      12
[10:54:02] 6f065b60b272   dev-peer1.org3.digiprism.com-identitychaincode1_1.0-2729ce6234c7e86a08ffbe222b20e2d50622d1631e7f5d61fb60e9156d49529b   0.00%     6.414MiB / 2GiB       0.31%     46.5MB / 14.5MB   6.76MB / 0B      12
[10:54:02] a358898e2b29   dev-peer1.org2.digiprism.com-identitychaincode1_1.0-2729ce6234c7e86a08ffbe222b20e2d50622d1631e7f5d61fb60e9156d49529b   0.00%     6.211MiB / 2GiB       0.30%     57.9MB / 17.6MB   6.66MB / 0B      12
[10:54:02] 04c27243e826   dev-peer2.org1.digiprism.com-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26               0.00%     5.039MiB / 2GiB       0.25%     24.8MB / 8.16MB   4.34MB / 0B      12
[10:54:02] 4335f8b51d4a   dev-peer1.org2.digiprism.com-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26               0.00%     5.297MiB / 2GiB       0.26%     24.8MB / 8.16MB   4.03MB / 0B      13
[10:54:02] 637e30ee7d33   dev-peer1.org3.digiprism.com-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26               0.00%     5.02MiB / 2GiB        0.25%     24.8MB / 8.17MB   3.63MB / 0B      13
[10:54:02] 1665e3ea088a   dev-peer2.org2.digiprism.com-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26               0.00%     4.836MiB / 2GiB       0.24%     24.8MB / 8.17MB   4.69MB / 0B      13
[10:54:02] 61b92085d757   dev-peer1.org1.digiprism.com-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26               0.00%     5.121MiB / 2GiB       0.25%     24.8MB / 8.16MB   4.29MB / 0B      13
[10:54:02] 3782c13a9b5e   dev-peer2.org3.digiprism.com-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26               0.00%     5.004MiB / 2GiB       0.24%     24.8MB / 8.16MB   3.83MB / 0B      13
[10:54:02] cad2d1e41032   network1                                                                                                               0.00%     85.91MiB / 15.49GiB   0.54%     199MB / 137MB     231MB / 444MB    1
[10:54:02] b69f0e2c3cb9   ca1.org3.digiprism.com                                                                                                 0.00%     3.875MiB / 15.49GiB   0.02%     17.4MB / 0B       254kB / 352kB    13
[10:54:02] 7840221811b8   ca1.org2.digiprism.com                                                                                                 0.00%     4.199MiB / 15.49GiB   0.03%     17.4MB / 0B       393kB / 352kB    13
[10:54:02] 34d9e03dfbc4   ca1.org1.digiprism.com                                                                                                 0.00%     5.906MiB / 15.49GiB   0.04%     17.4MB / 0B       18.7MB / 352kB   13
[10:54:02] 4902852ba51e   orderer3.digiprism.com                                                                                                 0.32%     37.9MiB / 15.49GiB    0.24%     1.53GB / 1.48GB   3.43MB / 128MB   15
[10:54:02] 488069fcea0c   orderer2.digiprism.com                                                                                                 0.51%     51.35MiB / 15.49GiB   0.32%     2.97GB / 3.06GB   17MB / 131MB     15
[10:54:02] f53c24dc9cb5   orderer1.digiprism.com                                                                                                 0.28%     39.87MiB / 15.49GiB   0.25%     1.54GB / 1.52GB   25.6MB / 128MB   15
[10:54:02] be8816fd5952   peer2.org3.digiprism.com                                                                                               5.03%     123.1MiB / 15.49GiB   0.78%     3.99GB / 3.94GB   15.5MB / 257MB   15
